Dia de septiembre,Muertes por COVID-19
1,48.51494216918945
2,49.57210159301758
3,47.95196533203125
4,48.936214447021484
5,45.79859161376953
6,50.12213897705078
7,47.47446823120117
8,45.829795837402344
9,48.461219787597656
10,47.23481750488281
11,45.531002044677734
12,45.627891540527344
13,43.388736724853516
14,42.7927360534668
15,46.656211853027344
16,45.997276306152344
17,49.8919563293457
18,49.19491958618164
19,52.1779899597168
20,61.02482223510742
21,53.688602447509766
22,55.86628723144531
23,54.614410400390625
24,66.26471710205078
25,67.59426879882812
26,66.85626983642578
27,65.20110321044922
28,71.33574676513672
29,75.98040771484375
30,82.53875732421875
