,prediction
0,82.4505386352539
1,81.58037567138672
2,77.79473114013672
3,75.77154541015625
4,72.7000961303711
5,70.55645751953125
6,67.92214965820312
7,65.76500701904297
8,63.603389739990234
9,60.636348724365234
10,59.7088623046875
11,56.43611526489258
12,54.88811111450195
13,52.20829391479492
14,50.37995147705078
15,47.77760696411133
16,46.90513229370117
17,44.81830978393555
18,43.89521408081055
19,42.232398986816406
20,41.331626892089844
21,40.43181228637695
22,39.130577087402344
23,37.83256530761719
24,36.39725875854492
25,35.390193939208984
26,33.85805892944336
27,33.2205810546875
28,31.747772216796875
29,31.230792999267578
30,30.11195945739746
